spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_I_fitflux	Bessell_I_fitfluxerr	Bessell_I_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_U_fitflux	Bessell_U_fitfluxerr	Bessell_U_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	sdss_g'_fitflux	sdss_g'_fitfluxerr	sdss_g'_inrange	sdss_i'_fitflux	sdss_i'_fitfluxerr	sdss_i'_inrange	sdss_r'_fitflux	sdss_r'_fitfluxerr	sdss_r'_inrange	sdss_z'_fitflux	sdss_z'_fitfluxerr	sdss_z'_inrange
/Users/ravkaur/Desktop/research/kilonova-SED/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-06-17_00-00-00_SALT_HRS-SALT_iPTF.ascii	56460.0	6.322707372163194e-16	8.472505925504849e-17	True	1.5555457852806897e-16	2.2779749955160048e-17	True	3.831060094117098e-16	5.972129195374505e-17	True	4.239283113869997e-16	1.239901489444562e-16	True	5.349432029901146e-16	6.054992740072348e-17	True	4.687341436630562e-16	3.809329380584401e-17	True	1.7537439196826717e-16	4.438973337200382e-17	True	4.113187750077317e-16	7.708624542932696e-17	True	1.554535259563974e-16	2.954015900572993e-17	True
/Users/ravkaur/Desktop/research/kilonova-SED/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-06-17_21-57-08_TNG_DOLORES_iPTF.ascii	56460.91	1.1030998480360702e-15	4.545874477496612e-17	True	2.797170411238907e-16	1.6016184905646907e-17	True	6.447554318893196e-16	4.986790588580023e-17	True	8.013921466872036e-16	1.064624846166997e-16	True	8.880791669325068e-16	4.840361782664209e-17	True	9.094236513451518e-16	1.2976016602044287e-17	True	3.280989849384811e-16	3.4538155953833657e-17	True	6.950533167943509e-16	5.586322937060886e-17	True	2.587938752931213e-16	2.096899194028588e-17	True
/Users/ravkaur/Desktop/research/kilonova-SED/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-06-18_00-00-00_HET_HET-LRS_iPTF.ascii	56461.0	1.1475514454302377e-15	4.81177499323263e-17	True	2.9207947160440114e-16	1.5435522656989292e-17	True	6.707142024345664e-16	4.904012773045159e-17	True	8.329690165800006e-16	1.0493390777469372e-16	True	9.231727669226517e-16	4.774635553967034e-17	True	9.534388769366212e-16	1.1355566777307716e-17	True	3.4375221393317573e-16	3.356314378716094e-17	True	7.233248796095276e-16	5.392118058835853e-17	True	2.69016077696232e-16	2.0163562705780093e-17	True
/Users/ravkaur/Desktop/research/kilonova-SED/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-06-19_08-04-39_FTN_FLOYDS-N_iPTF.ascii	56462.34	1.792635828395981e-15	1.0910061393412462e-16	True	4.776694296523997e-16	9.429620386089714e-18	True	1.0574517690336015e-15	3.854715880912219e-17	True	1.2889035346868097e-15	9.130242548317481e-17	True	1.4515483525350175e-15	4.335580263228501e-17	True	1.6183080952917738e-15	2.4218517014507035e-17	True	5.864940620602297e-16	1.8103171275232277e-17	True	1.148706554521574e-15	2.9682616158161294e-17	True	4.16477842490592e-16	1.2548248339117944e-17	True
/Users/ravkaur/Desktop/research/kilonova-SED/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-06-20_00-00-00_Other_Other_iPTF.ascii	56463.0	2.1368080791269697e-15	1.1738598767285713e-16	True	5.699129671969967e-16	8.553392538559708e-18	True	1.2471445576823457e-15	3.3957291262712113e-17	True	1.5903116959308818e-15	1.5799262513798994e-16	True	1.7182288377174485e-15	4.114865014125539e-17	True	1.9529627234311304e-15	3.043213081377649e-17	True	7.082742752592538e-16	1.2875231071641171e-17	True	1.3608745544801873e-15	2.257231704326652e-17	True	4.845837104721121e-16	1.386714127535465e-17	True
/Users/ravkaur/Desktop/research/kilonova-SED/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-06-22_00-00-00_FTN_FLOYDS-N_iPTF.ascii	56465.0	3.4395709955230746e-15	4.99937619705858e-17	True	8.483538545599181e-16	8.87197419600869e-18	True	1.811143164349751e-15	2.113295696341808e-17	True	2.9340483562831114e-15	1.2788850690673333e-16	True	2.559402671456833e-15	2.7366437007957026e-17	True	2.9942733369277522e-15	3.2582917789810076e-17	True	1.0546844111683657e-15	1.425433441176156e-17	True	2.0005272634577685e-15	2.2552367376161845e-17	True	6.851381187718636e-16	1.7563485068146033e-17	True
/Users/ravkaur/Desktop/research/kilonova-SED/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-06-24_00-00-00_FTN_FLOYDS-N_iPTF.ascii	56467.0	5.036662598733838e-15	5.1415390532754374e-17	True	1.1115609775198813e-15	9.429526108285456e-18	True	2.340956207233185e-15	1.5869994161081726e-17	True	4.760379504675982e-15	2.5308767849316095e-16	True	3.4293606725275814e-15	2.165048205958869e-17	True	4.048441685563328e-15	4.6033855213753426e-17	True	1.3764824910823615e-15	2.38007287645196e-17	True	2.5965371566644814e-15	2.7691964550206282e-17	True	8.873567629275754e-16	1.9322335531834233e-17	True
/Users/ravkaur/Desktop/research/kilonova-SED/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-06-25_00-00-00_HCT-2m_HFOSC_None.dat	56468.0	5.656203098447328e-15	7.136575555599124e-17	True	1.2323588971320681e-15	9.53995348154315e-18	True	2.58240011728551e-15	1.6275775332748388e-17	True	5.534140850023049e-15	2.479778338035049e-16	True	3.841100630647585e-15	2.321167539307624e-17	True	4.547389507096848e-15	5.201686764686653e-17	True	1.5321002017156594e-15	2.037007539917254e-17	True	2.87334025542619e-15	2.7139042179213576e-17	True	9.790041498744747e-16	1.8432105195073335e-17	True
/Users/ravkaur/Desktop/research/kilonova-SED/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-06-26_00-00-00_HET_HET-LRS_iPTF.ascii	56469.0	6.145566689271162e-15	9.795794763300412e-17	True	1.347395303848415e-15	1.0106346909173035e-17	True	2.8118095654705263e-15	1.827192253467451e-17	True	6.01920943128084e-15	3.802887790804611e-16	True	4.222197115318897e-15	2.6659756383065152e-17	True	5.006320916115397e-15	5.492171326203937e-17	True	1.6835662793389716e-15	1.314632345786044e-17	True	3.1349493343663573e-15	2.445198265335422e-17	True	1.0690825802859198e-15	1.6949434617347888e-17	True
/Users/ravkaur/Desktop/research/kilonova-SED/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//iPTF13bvn/iPTF13bvn_2013-06-27_03-51-05_APO-3.5m_DIS_iPTF.ascii	56470.16	6.606783322819353e-15	1.1326143479963237e-16	True	1.4767859642584595e-15	1.231704604545374e-17	True	3.0701724918617617e-15	2.3216542219241912e-17	True	6.250449922230479e-15	6.153948930512887e-16	True	4.616184249059985e-15	2.9336412195892424e-17	True	5.469880074507955e-15	5.50244736622901e-17	True	1.8467451633534055e-15	1.2767814145246105e-17	True	3.4164035417462022e-15	1.9656892828844286e-17	True	1.1808317166228914e-15	2.0194413708545447e-17	True
