MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_g'	sdss_g'_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	sdss_z'	sdss_z'_err
56458.18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.23	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.280000000006	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.33000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.38000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.430000000015	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.48000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.53000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.58000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.63000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.68000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.73000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56458.780000000035	nan	nan	nan	nan	3.623869372161337e-17	7.801642995181385e-17	nan	nan	nan	nan	nan	nan	nan	nan	3.6937866098553594e-17	1.0926435242196781e-16	2.31097317360366e-17	4.578688265768171e-17
56458.83000000004	nan	nan	-1.5823882855150292e-18	3.3635467016044403e-17	5.0338397295805346e-17	7.71415950438017e-17	nan	nan	8.921920748131473e-17	9.00037453796536e-17	-8.622790699418149e-17	7.920388777080823e-17	-4.30638829379987e-18	6.333036711363287e-17	5.214709093524955e-17	1.0787352012928676e-16	2.8283246933439625e-17	4.492742191489361e-17
56458.88000000004	7.246977425766096e-17	1.8711445144562393e-16	5.070422513763608e-18	3.312339902612784e-17	6.444852116302376e-17	7.627718972054486e-17	nan	nan	1.0799866183106058e-16	8.846672083007774e-17	-6.277898244323218e-17	7.72929886337972e-17	2.956753135165195e-18	6.224895505994595e-17	6.736774235097548e-17	1.064884472724409e-16	3.347983196905879e-17	4.408474985468513e-17
56458.930000000044	9.564173086506112e-17	1.814531136821681e-16	1.1728884180167432e-17	3.2615433864374086e-17	7.856907110216855e-17	7.542331118502027e-17	-1.9487955202111312e-17	1.9573569727660262e-16	1.2680351707378444e-16	8.69518280887584e-17	-3.930626916613765e-17	7.539509938478963e-17	1.0256943571147652e-17	6.11920816245384e-17	8.25998267593871e-17	1.0510918053407388e-16	3.869956425606167e-17	4.32592039060902e-17
56458.98000000005	1.1899844456982914e-16	1.7588625600258967e-16	1.83930003101382e-17	3.2111615995269737e-17	9.270005291033009e-17	7.458005603911525e-17	-1.4152376332084665e-18	1.8668181359589743e-16	1.456337990074394e-16	8.545951993987539e-17	-1.5809749121415334e-17	7.351035611253266e-17	1.7594324681843104e-17	6.01602459582475e-17	9.784335064306514e-17	1.0373576765126149e-16	4.394252143874609e-17	4.2451116272593174e-17
56459.03000000005	1.4254102485098322e-16	1.70417313592268e-16	2.5062774506042092e-17	3.16119906816874e-17	1.0684147236399696e-16	7.374752011388636e-17	1.6943242401515076e-17	1.7808775661904803e-16	1.644895334508438e-16	8.399026008936871e-17	7.710595821126421e-18	7.163889912121274e-17	2.4969038616656277e-17	5.915393461887355e-17	1.130983204076328e-16	1.0236825746116562e-16	4.920878139313612e-17	4.1660811928249045e-17
56459.08000000005	1.6627058711567028e-16	1.6504980118791423e-16	3.173821037546671e-17	3.111660398521195e-17	1.209933352090761e-16	7.292579827469989e-17	3.559086415063586e-17	1.7000058663036567e-16	1.8337074624507963e-16	8.254452285877235e-17	3.125478379740379e-17	6.978087322464427e-17	3.238122800778216e-17	5.817361816082665e-17	1.283647425357343e-16	1.0100669994792428e-16	5.449842222758122e-17	4.0888606392699183e-17
56459.130000000056	1.9018825272967933e-16	1.5978730100138703e-16	3.841931152261884e-17	3.062550277203338e-17	1.3515564729928998e-16	7.211498423592222e-17	5.4531042358508237e-17	1.624703465164459e-16	2.0227746325744355e-16	8.112279277679581e-17	5.482283288037976e-17	6.793642807225071e-17	3.983103597197478e-17	5.721974742602369e-17	1.4364262346142775e-16	9.965114628851948e-17	5.981152228359538e-17	4.0134803276973625e-17
56459.18000000006	2.1429514904641546e-16	1.5463344657416334e-16	4.5106081557640054e-17	3.013873470649585e-17	1.493284143671732e-16	7.131517033880008e-17	7.37672276146642e-17	1.5554904855921077e-16	2.212097103823235e-16	7.972556405039362e-17	7.841476126320376e-17	6.610571852429702e-17	4.731860611220272e-17	5.629274953950111e-17	1.5893196968363445e-16	9.830164890721912e-17	6.51481601363142e-17	3.9399691594221844e-17
56459.23000000006	2.3859240943736824e-16	1.4959190172516638e-16	5.179852402597078e-17	2.9656348167189584e-17	1.6351160766377223e-16	7.052642012480596e-17	9.330290670664298e-17	1.4928905908439035e-16	2.401674913321757e-16	7.835332809514901e-17	1.0203058704316446e-16	6.428890502395764e-17	5.4844082518844413e-17	5.53930236190615e-17	1.742327875878527e-16	9.695826152279559e-17	7.050830626615489e-17	3.8683431709088135e-17
56459.280000000064	2.6308117332228984e-16	1.4466633363444693e-16	5.849663064273299e-17	2.9178374409530713e-17	1.7770505999375134e-16	6.974868653013825e-17	1.1314160297602047e-16	1.4374078632381409e-16	2.5915047786345316e-16	7.700640795532871e-17	1.2567032440867733e-16	6.248611067223802e-17	6.240753968085627e-17	5.452072121073574e-17	1.8954508370548851e-16	9.562103921629617e-17	7.58913454590891e-17	3.7985563111289936e-17
56459.33000000007	2.8776258619937815e-16	1.3986037898261733e-16	6.52003666529945e-17	2.870480553751983e-17	1.919085696198245e-16	6.898189348097793e-17	1.332868766778142e-16	1.3894966421860892e-16	2.781580861853118e-16	7.56849986599291e-17	1.49333975552551e-16	6.069733625966859e-17	7.000877221371676e-17	5.367509801867008e-17	2.048688644747874e-16	9.429003847558861e-17	8.129646553706254e-17	3.730540386640296e-17
56459.38000000007	3.126355604133823e-16	1.3517587616344873e-16	7.190969374345676e-17	2.8235629144857056e-17	2.061219347693398e-16	6.822596313391433e-17	1.5374127203163258e-16	1.3494958697783544e-16	2.9718972595644524e-16	7.438929979705985e-17	1.7302154053288061e-16	5.892256648551135e-17	7.764750512879357e-17	5.285516021995697e-17	2.2020413634212974e-16	9.296531727436013e-17	8.672285439268068e-17	3.664225485934642e-17
56459.43000000007	3.376900573133523e-16	1.3060766205366843e-16	7.862457359862284e-17	2.77708338201612e-17	2.2034495371918038e-16	6.748081589914473e-17	1.7449160996412104e-16	1.3171782144200886e-16	3.162448068460464e-16	7.311951904276961e-17	1.9673301942636243e-16	5.716179506114386e-17	8.53234639207707e-17	5.2059882506292384e-17	2.355509058228137e-16	9.164693512680848e-17	9.216970012974353e-17	3.599540224094913e-17
56459.480000000076	3.629138047256455e-16	1.261487946352589e-16	8.534496790082724e-17	2.7310409256921337e-17	2.34577424716558e-16	6.674637047746022e-17	1.9551261453070482e-16	1.2918485290467492e-16	3.353227385533164e-16	7.187587213586059e-17	2.2046841229824789e-16	5.5415026140702155e-17	9.30363745629854e-17	5.1288211363189244e-17	2.5090917936329174e-16	9.033495316809986e-17	9.763619105483891e-17	3.536411986428057e-17
56459.53000000008	3.882945358161118e-16	1.2179235405018376e-16	9.207083833498684e-17	2.6854346355274922e-17	2.4881914600435673e-16	6.602254388417635e-17	2.1677873032268634e-16	1.27270430376782e-16	3.5442293080071286e-16	7.065858273678141e-17	2.442277191837433e-16	5.3682275938827007e-17	1.0078596350435444e-16	5.05390685650409e-17	2.662789634667763e-16	8.902943422044523e-17	1.0312151566900117e-16	3.474767184743285e-17
56459.58000000008	4.138199886902243e-16	1.1753152556477402e-16	9.88021465948138e-17	2.6402637343677047e-17	2.63069915846246e-16	6.530925148533076e-17	2.382644313368813e-16	1.2588788175236272e-16	3.7354479332192456e-16	6.946788222635778e-17	2.6801094018673316e-16	5.1963574610798815e-17	1.0857195766488777e-16	4.981135485484001e-17	2.8166026460409485e-16	8.77304428815249e-17	1.0862486265961511e-16	3.414531524675629e-17
56459.630000000085	4.394779059939104e-16	1.1335969092767381e-16	1.0553885436563445e-16	2.5955275896894674e-17	2.7732953250731747e-16	6.460640703280148e-17	2.5994421775587356e-16	1.2494779382052317e-16	3.9268773588518845e-16	6.830400936377331e-17	2.918180754554574e-16	5.025896839979554e-17	1.163940844323239e-16	4.910395377549583e-17	2.9705308924611704e-16	8.643804560022927e-17	1.1414542089201327e-16	3.3556302823030014e-17
56459.68000000009	4.652560345132637e-16	1.0927052905957272e-16	1.1228092334657676e-16	2.5512257257353884e-17	2.915977942657544e-16	6.391392269382474e-17	2.81792612730771e-16	1.2436150637642284e-16	4.1185116825562946e-16	6.716720984277104e-17	3.156491250294182e-16	4.8568522148415696e-17	1.2425207165781567e-16	4.841573561733355e-17	3.1245744390425477e-16	8.515231077711005e-17	1.1968237940127863e-16	3.297988588302498e-17
56459.73000000009	4.911421247757877e-16	1.0525812741157312e-16	1.1902831522862438e-16	2.50735783752797e-17	3.058744993512163e-16	6.323170909108727e-17	3.037841591658626e-16	1.240440917408714e-16	4.3103450024501246e-16	6.605773571203127e-17	3.3950408911551954e-16	4.689232222859186e-17	1.3214564765225605e-16	4.774556144568457e-17	3.278733350575512e-16	8.38733088462835e-17	1.252349273840496e-16	3.24153171785585e-17
56459.78000000009	5.171239306506549e-16	1.013171058548598e-16	1.2578099170248173e-16	2.4639238039898718e-17	3.201594460628389e-16	6.255967533486637e-17	3.2589341650530836e-16	1.239166410028782e-16	4.502371416566407e-16	6.497584464149462e-17	3.6338296779189693e-16	4.5230479989330974e-17	1.400745411826602e-16	4.7092287172227455e-17	3.4330076921343763e-16	8.26011123845826e-17	1.3080225418994747e-16	3.186185384578885e-17
56459.830000000096	5.431892089495654e-16	9.744275564673807e-17	1.3253891447481085e-16	2.4209237028431633e-17	3.3445243266485975e-16	6.189772906264222e-17	3.480949575211295e-16	1.2390782131895749e-16	4.69458502328644e-16	6.39217990429571e-17	3.872857612454261e-16	4.358313580915626e-17	1.480384814679917e-16	4.64547676340173e-17	3.5873975285102026e-16	8.133579621647305e-17	1.3638354931378416e-16	3.1318760368347054e-17
56459.8800000001	5.69325719027493e-16	9.363119688229558e-17	1.3930204524555326e-16	2.3783578258239252e-17	3.4875325743816475e-16	6.124577647165173e-17	3.703633651024768e-16	1.2395477331606746e-16	4.8869799211102945e-16	6.289586501280484e-17	4.1121246961147543e-16	4.195046394379156e-17	1.5603719817545362e-16	4.583186064596419e-17	3.7419029247780414e-16	8.007743752897466e-17	1.4197800238690297e-16	3.078531154901483e-17
56459.9300000001	5.955212223836436e-16	8.987955891473502e-17	1.4607034571127655e-16	2.33622669449501e-17	3.6306171864646034e-16	6.060372236457976e-17	3.926732290457929e-16	1.2400347503806198e-16	5.079550208705124e-16	6.189831109862834e-17	4.3516309309552346e-16	4.033267833604379e-17	1.6407042141663214e-16	4.522243099394396e-17	3.896523946377972e-16	7.882611599072214e-17	1.4758480316907112e-16	3.026079547633459e-17
56459.980000000105	6.217634822623095e-16	8.618618952992783e-17	1.5284377757972546e-16	2.294531076842074e-17	3.773776145538994e-16	5.997147017410213e-17	4.1499914284551417e-16	1.2400871580826878e-16	5.272289984878445e-16	6.09294068693648e-17	4.591376318715721e-16	3.873003956089115e-17	1.721378817436807e-16	4.462535433851837e-17	4.051260657818399e-16	7.758191388203488e-17	1.5320314154032434e-16	2.974451647482926e-17
56460.03000000011	6.480402632536473e-16	8.255090018795091e-17	1.5962230256099736e-16	2.2532720049303304e-17	3.9170074345534803e-16	5.934892201157012e-17	4.3731570048522954e-16	1.2393381336999436e-16	5.465193348599934e-16	5.998942128743926e-17	4.831360861322251e-16	3.714286330543285e-17	1.8023931014545426e-16	4.403952100237857e-17	4.2061131244185164e-16	7.634491622687595e-17	1.5883220749247607e-16	2.923579802915841e-17
56460.08000000011	6.743393308949921e-16	7.897525633740582e-17	1.6640588235203176e-16	2.21245079340441e-17	4.060309036523137e-16	5.873597869896088e-17	4.595974932285631e-16	1.2375018397385058e-16	5.658254399012563e-16	5.907862087296492e-17	5.071584561273181e-16	3.557153067535657e-17	1.883744380438668e-16	4.3463839617876055e-17	4.3610814115789372e-16	7.511521094416077e-17	1.64471191121036e-16	2.873398567580672e-17
