#wls	flux	fluxerr	mangling_mask
3.831579E+03	1.188595E-15	4.139705E-16	2.420566E+00
3.833277E+03	1.244457E-15	4.155016E-16	2.420557E+00
3.834974E+03	1.306878E-15	4.170003E-16	2.420548E+00
3.836672E+03	1.371380E-15	4.139112E-16	2.420539E+00
3.838370E+03	1.435325E-15	4.052631E-16	2.420528E+00
3.840068E+03	1.489926E-15	4.065722E-16	2.420518E+00
3.841766E+03	1.535933E-15	4.080512E-16	2.420507E+00
3.843463E+03	1.580172E-15	4.041380E-16	2.420495E+00
3.845161E+03	1.622111E-15	3.868598E-16	2.420483E+00
3.846859E+03	1.663129E-15	3.545202E-16	2.420470E+00
3.848557E+03	1.709520E-15	3.321495E-16	2.420457E+00
3.850255E+03	1.761647E-15	3.241576E-16	2.420443E+00
3.851952E+03	1.818928E-15	3.313306E-16	2.420429E+00
3.853650E+03	1.880589E-15	3.438455E-16	2.420414E+00
3.855348E+03	1.937796E-15	3.446955E-16	2.420399E+00
3.857046E+03	1.982899E-15	3.448408E-16	2.420383E+00
3.858744E+03	2.014931E-15	3.453503E-16	2.420367E+00
3.860441E+03	2.042001E-15	3.476891E-16	2.420350E+00
3.862139E+03	2.065971E-15	3.526639E-16	2.420332E+00
3.863837E+03	2.086771E-15	3.513672E-16	2.420314E+00
3.865535E+03	2.110280E-15	3.301182E-16	2.420295E+00
3.867233E+03	2.136814E-15	2.963731E-16	2.420276E+00
3.868930E+03	2.164121E-15	2.744499E-16	2.420257E+00
3.870628E+03	2.192928E-15	2.686048E-16	2.420236E+00
3.872326E+03	2.219798E-15	2.729777E-16	2.420216E+00
3.874024E+03	2.244875E-15	2.772946E-16	2.420194E+00
3.875722E+03	2.273341E-15	2.857697E-16	2.420172E+00
3.877419E+03	2.297352E-15	3.008942E-16	2.420150E+00
3.879117E+03	2.315771E-15	3.040870E-16	2.420127E+00
3.880815E+03	2.331697E-15	3.043252E-16	2.420104E+00
3.882513E+03	2.349897E-15	3.163339E-16	2.420080E+00
3.884211E+03	2.368847E-15	3.430465E-16	2.420055E+00
3.885908E+03	2.386561E-15	3.533973E-16	2.420030E+00
3.887606E+03	2.405653E-15	3.527177E-16	2.420004E+00
3.889304E+03	2.427964E-15	3.506072E-16	2.419978E+00
3.891002E+03	2.457460E-15	3.558583E-16	2.419951E+00
3.892700E+03	2.484535E-15	3.647608E-16	2.419923E+00
3.894397E+03	2.512335E-15	3.669238E-16	2.419895E+00
3.896095E+03	2.538198E-15	3.670726E-16	2.419867E+00
3.897793E+03	2.551235E-15	3.726106E-16	2.419838E+00
3.899491E+03	2.559189E-15	3.789313E-16	2.419808E+00
3.901189E+03	2.565932E-15	3.956407E-16	2.419778E+00
3.902886E+03	2.563722E-15	4.244020E-16	2.419747E+00
3.904584E+03	2.560301E-15	4.407890E-16	2.419716E+00
3.906282E+03	2.562203E-15	4.467440E-16	2.419684E+00
3.907980E+03	2.561927E-15	4.450977E-16	2.419651E+00
3.909677E+03	2.567457E-15	4.377125E-16	2.419618E+00
3.911375E+03	2.580729E-15	4.374915E-16	2.419584E+00
3.913073E+03	2.587709E-15	4.370944E-16	2.419550E+00
3.914771E+03	2.587672E-15	4.310747E-16	2.419515E+00
3.916469E+03	2.583521E-15	4.286771E-16	2.419480E+00
3.918166E+03	2.568240E-15	4.303524E-16	2.419444E+00
3.919864E+03	2.546910E-15	4.285813E-16	2.419408E+00
3.921562E+03	2.527274E-15	4.197751E-16	2.419370E+00
3.923260E+03	2.508848E-15	4.025845E-16	2.419333E+00
3.924958E+03	2.493809E-15	3.838995E-16	2.419294E+00
3.926655E+03	2.485059E-15	3.743766E-16	2.419255E+00
3.928353E+03	2.480180E-15	3.749951E-16	2.419216E+00
3.930051E+03	2.476269E-15	3.720964E-16	2.419176E+00
3.931749E+03	2.470663E-15	3.560695E-16	2.419135E+00
3.933447E+03	2.461670E-15	3.500030E-16	2.419094E+00
3.935144E+03	2.453887E-15	3.489326E-16	2.419052E+00
3.936842E+03	2.454569E-15	3.394329E-16	2.419010E+00
3.938540E+03	2.462266E-15	3.180606E-16	2.418967E+00
3.940238E+03	2.470204E-15	2.920681E-16	2.418923E+00
3.941936E+03	2.473788E-15	2.783867E-16	2.418879E+00
3.943633E+03	2.473016E-15	2.868543E-16	2.418834E+00
3.945331E+03	2.470067E-15	3.176205E-16	2.418789E+00
3.947029E+03	2.465908E-15	3.317128E-16	2.418743E+00
3.948727E+03	2.462716E-15	3.188053E-16	2.418696E+00
3.950425E+03	2.466054E-15	2.943163E-16	2.418649E+00
3.952122E+03	2.473987E-15	2.723264E-16	2.418601E+00
3.953820E+03	2.475631E-15	2.606989E-16	2.418553E+00
3.955518E+03	2.475097E-15	2.619468E-16	2.418504E+00
3.957216E+03	2.478674E-15	2.643301E-16	2.418454E+00
