MKO K band

at 20� C and 0� AOI

MKO K band 2150/320	
MAN320A			
65mm diameter part	
DELIVERED PC AT ROOM TEMP WITH 77K SHIFT�
298K	calc @77K
peak T%	97.27055	97.50955	
Cut-on:	1990.5	1988.4	
Cut-off:	2309	2306.3	
LP Slope	1.27%	1.27%	
SP Slope	1.16%	1.18%	
slope defined from 90% to 10%	
wl(nm)	T%		
2500	0.0064		
2499.5	0.008873		
2499	0.008808		
2498.5	0.004454		
2498	0.004545		
2497.5	0.00728		
2497	0.009629		
2496.5	0.008081		
2496	0.005948		
2495.5	0.011814		
2495	0.008723		
2494.5	0.01641		
2494	0.011206		
2493.5	0.005909		
2493	0.008409		
2492.5	0.00996		
2492	0.005477		
2491.5	0.008167		
2491	0.008632		
2490.5	0.006825		
2490	0.011741		
2489.5	0.006316		
2489	0.010838		
2488.5	0.008716		
2488	0.005867		
2487.5	0.005363		
2487	0.003718		
2486.5	0.007772		
2486	0.009445		
2485.5	0.010671		
2485	0.00778		
2484.5	0.005133		
2484	0.01043		
2483.5	0.007161		
2483	0.006814		
2482.5	0.011751		
2482	0.009512		
2481.5	0.006823		
2481	0.008186		
2480.5	0.002735		
2480	0.01271		
2479.5	0.008208		
2479	0.005877		
2478.5	0.013761		
2478	0.006716		
2477.5	0.008256		
2477	0.010108		
2476.5	0.009213		
2476	0.007372		
2475.5	0.006452		
2475	0.005597		
2474.5	0.012904		
2474	0.008674		
2473.5	0.007751		
2473	0.009218		
2472.5	0.00605		
2472	0.011074		
2471.5	0.005079		
2471	0.011726		
2470.5	0.008025		
2470	0.011706		
2469.5	0.013073		
2469	0.007179		
2468.5	0.010163		
2468	0.00755		
2467.5	0.003764		
2467	0.006297		
2466.5	0.00554		
2466	0.009584		
2465.5	0.001889		
2465	0.011433		
2464.5	0.006297		
2464	0.00858		
2463.5	0.007716		
2463	0.011278		
2462.5	0.009967		
2462	0.003633		
2461.5	0.014503		
2461	0.010355		
2460.5	0.00709		
2460	0.005395		
2459.5	0.007683		
2459	0.005086		
