iteration,linear_scale_this_iter,cumulative_linear_scale,canonical_phase,spec_bundle_id,spec_epoch_id
0,1.0047428158368601e+00,1.0047428158368601e+00,-0.83135791,3,5
1,1.0063838026536092e+00,1.0111568956907941e+00,-0.83135791,3,5
2,1.0046889228178002e+00,1.0158981323313747e+00,-0.83135791,3,5
3,1.0039325336372704e+00,1.0198931859088081e+00,-0.83135791,3,5
4,1.0035198502783804e+00,1.0234830572231475e+00,-0.83135791,3,5
5,1.0032259676548010e+00,1.0267847804609862e+00,-0.83135791,3,5
6,1.0029300092179612e+00,1.0297932693325991e+00,-0.83135791,3,5
7,1.0027934384592290e+00,1.0326699334562079e+00,-0.83135791,3,5
8,1.0025352728299262e+00,1.0352880334807810e+00,-0.83135791,3,5
9,1.0024090673477901e+00,1.0377821120777975e+00,-0.83135791,3,5
10,1.0021940369848441e+00,1.0400590444139057e+00,-0.83135791,3,5
11,1.0020500808507962e+00,1.0421912495445560e+00,-0.83135791,3,5
12,1.0019453050821148e+00,1.0442186294788305e+00,-0.83135791,3,5
13,1.0017697157569370e+00,1.0460665996411063e+00,-0.83135791,3,5
14,1.0016647340482094e+00,1.0478080223262234e+00,-0.83135791,3,5
15,1.0015487316267384e+00,1.0494307957491502e+00,-0.83135791,3,5
16,1.0014720163454864e+00,1.0509755750339498e+00,-0.83135791,3,5
17,1.0013462142054819e+00,1.0523904132826749e+00,-0.83135791,3,5
18,1.0012562709071784e+00,1.0537125007418753e+00,-0.83135791,3,5
19,1.0011946572795924e+00,1.0549713260514841e+00,-0.83135791,3,5
