iteration,linear_scale_this_iter,cumulative_linear_scale,canonical_phase,spec_bundle_id,spec_epoch_id
0,9.7141687709747693e-01,9.7141687709747693e-01,-0.780351233,5,7
1,1.0002712121264337e+00,9.7168033713436808e-01,-0.780351233,5,7
2,1.0029713394440360e+00,9.7456752924708967e-01,-0.780351233,5,7
3,1.0033015977696140e+00,9.7778515922799014e-01,-0.780351233,5,7
4,1.0032047712380316e+00,9.8091873698325815e-01,-0.780351233,5,7
5,1.0030059464714756e+00,9.8386732619949724e-01,-0.780351233,5,7
6,1.0028657636514120e+00,9.8668685742073170e-01,-0.780351233,5,7
7,1.0025487110344131e+00,9.8920163710175035e-01,-0.780351233,5,7
8,1.0024527881953014e+00,9.9162793920000636e-01,-0.780351233,5,7
9,1.0021973948595462e+00,9.9380693733618686e-01,-0.780351233,5,7
10,1.0021136407248372e+00,9.9590748815156638e-01,-0.780351233,5,7
11,1.0019374658614362e+00,9.9783702491100867e-01,-0.780351233,5,7
12,1.0017694612280368e+00,9.9960265883848831e-01,-0.780351233,5,7
13,1.0017112104544612e+00,1.0013131893586000e+00,-0.780351233,5,7
14,1.0015582253337616e+00,1.0028734609372882e+00,-0.780351233,5,7
15,1.0014533826994079e+00,1.0043310198751099e+00,-0.780351233,5,7
16,1.0013529706865376e+00,1.0056898503045812e+00,-0.780351233,5,7
17,1.0012896959820166e+00,1.0069868844636738e+00,-0.780351233,5,7
18,1.0011962841586237e+00,1.0081915269214996e+00,-0.780351233,5,7
19,1.0010774630825026e+00,1.0092778160718494e+00,-0.780351233,5,7
